,Dates,closing prices
,7-1-2019,1742.01
,7-8-2019,1788.79
,7-15-2019,1877.28
,7-22-2019,1848.49
,7-29-2019,1861.4
,8-5-2019,1851.6
,8-12-2019,1779.29
,8-19-2019,1827.12
,8-26-2019,1833.28
,9-2-2019,1804.17
,9-9-2019,1832.62
,9-16-2019,1786.58
,9-23-2019,1803.55
,9-30-2019,1805.59
,10-7-2019,1821.17
,10-14-2019,1841.26
,10-21-2019,1876.79
,10-28-2019,1918.4
,11-4-2019,1946.75
,11-11-2019,1920.85
,11-18-2019,1874.13
,11-25-2019,1841.8
,12-2-2019,1874.61
,12-9-2019,1903.17
,12-16-2019,1843.16
,12-23-2019,1863.65
,12-30-2019,1844.48
,1-6-2020,1827.52
,1-13-2020,1846.91
,1-20-2020,1810.37
,1-27-2020,1724.93
,2-3-2020,1791.09
,2-10-2020,1738.95
,2-17-2020,1738.92
,2-24-2020,1605.99
,3-2-2020,1596.23
,3-9-2020,1415.66
,3-16-2020,1163.69
,3-23-2020,1217.28
,3-30-2020,1183.78
,4-6-2020,1157.37
,4-13-2020,1235.72
,4-20-2020,1188.69
,4-27-2020,1188.67
,5-4-2020,1148.08
,5-11-2020,1129.4
,5-18-2020,1102.5
,5-25-2020,1176.42
