,Dates,closing prices
,7-1-2019,7797.21
,7-8-2019,7758.23
,7-15-2019,7942.92
,7-22-2019,7999.12
,7-29-2019,7901.63
,8-5-2019,7630.42
,8-12-2019,7727
,8-19-2019,7772.54
,8-26-2019,7922.86
,9-2-2019,7908.14
,9-9-2019,7918.59
,9-16-2019,7849.1
,9-23-2019,7723.44
,9-30-2019,7551.58
,10-7-2019,7670.38
,10-14-2019,7676.89
,10-21-2019,7745.04
,10-28-2019,7830.3
,11-4-2019,7933.32
,11-11-2019,7810.42
,11-18-2019,7756.93
,11-25-2019,7630.43
,12-2-2019,7750.82
,12-9-2019,7633.31
,12-16-2019,7599.65
,12-23-2019,7592.07
,12-30-2019,7631.72
,1-6-2020,7635.45
,1-13-2020,7475.59
,1-20-2020,7348.36
,1-27-2020,6900.31
,2-3-2020,7146.01
,2-10-2020,7051.97
,2-17-2020,7218.98
,2-24-2020,6627.08
,3-2-2020,6612.26
,3-9-2020,5673.65
,3-16-2020,4602.06
,3-23-2020,5142.11
,3-30-2020,5265.52
,4-6-2020,5510.79
,4-13-2020,5731.72
,4-20-2020,5361.78
,4-27-2020,5544.29
,5-4-2020,5532.27
,5-11-2020,5437.09
,5-18-2020,5540.44
,5-25-2020,5946.52
