,Dates,closing prices
,7-1-2019,11988.32
,7-8-2019,11791.25
,7-15-2019,11704.7
,7-22-2019,11467.74
,7-29-2019,11412.13
,8-5-2019,10804.27
,8-12-2019,10844.32
,8-19-2019,10997
,8-26-2019,11126.3
,9-2-2019,10915.02
,9-9-2019,11011.94
,9-16-2019,10938.94
,9-23-2019,10556.72
,9-30-2019,10477.26
,10-7-2019,10677.38
,10-14-2019,10643.01
,10-21-2019,10470.07
,10-28-2019,10470.94
,11-4-2019,10478.33
,11-11-2019,10082.34
,11-18-2019,9911.62
,11-25-2019,9781.29
,12-2-2019,9555.43
,12-9-2019,9722.08
,12-16-2019,9367.59
,12-23-2019,9635.07
,12-30-2019,9684.14
,1-6-2020,9364.48
,1-13-2020,9477.42
,1-20-2020,9728.72
,1-27-2020,8921.44
,2-3-2020,9391.68
,2-10-2020,8936.64
,2-17-2020,8987.08
,2-24-2020,8351.48
,3-2-2020,8114.07
,3-9-2020,7071.11
,3-16-2020,6022.65
,3-23-2020,6204.54
,3-30-2020,6433.97
,4-6-2020,7073.16
,4-13-2020,7566.82
,4-20-2020,7209.48
,4-27-2020,7474.93
,5-4-2020,7326.79
,5-11-2020,7506.67
,5-18-2020,7304.81
,5-25-2020,7311.09
