,Dates,closing prices
,7-1-2019,7439.29
,7-8-2019,7437.16
,7-15-2019,8126.27
,7-22-2019,7870.97
,7-29-2019,8101.47
,8-5-2019,8152.22
,8-12-2019,8051.19
,8-19-2019,8074
,8-26-2019,8250.52
,9-2-2019,9269.45
,9-9-2019,9591.46
,9-16-2019,9375.03
,9-23-2019,8968.4
,9-30-2019,8843.07
,10-7-2019,9178.36
,10-14-2019,8907.35
,10-21-2019,9209.23
,10-28-2019,9216.52
,11-4-2019,9092.61
,11-11-2019,8742.14
,11-18-2019,8175.43
,11-25-2019,8054.07
,12-2-2019,7517.51
,12-9-2019,7521.46
,12-16-2019,7586.74
,12-23-2019,8091.98
,12-30-2019,8020.76
,1-6-2020,8107.64
,1-13-2020,8143.53
,1-20-2020,7968.19
,1-27-2020,7663.26
,2-3-2020,7383.47
,2-10-2020,7058.64
,2-17-2020,7086.9
,2-24-2020,6451.44
,3-2-2020,6281.71
,3-9-2020,4727.81
,3-16-2020,3745.47
,3-23-2020,4102.47
,3-30-2020,4261.87
,4-6-2020,4320.96
,4-13-2020,4688.22
,4-20-2020,4592.45
,4-27-2020,4708.57
,5-4-2020,4520.85
,5-11-2020,4505.48
,5-18-2020,4465.27
,5-25-2020,4362.72
