,Dates,closing prices
,7-1-2019,4379.75
,7-8-2019,4423.93
,7-15-2019,4423.57
,7-22-2019,4347.09
,7-29-2019,4324
,8-5-2019,4100.02
,8-12-2019,4036.97
,8-19-2019,4016.69
,8-26-2019,3998
,9-2-2019,4050.97
,9-9-2019,4064.08
,9-16-2019,3985.76
,9-23-2019,4068.62
,9-30-2019,4010.9
,10-7-2019,4129.68
,10-14-2019,4177.25
,10-21-2019,4166.29
,10-28-2019,4172.29
,11-4-2019,4170.89
,11-11-2019,4119.84
,11-18-2019,4033.22
,11-25-2019,4043.6
,12-2-2019,4099.88
,12-9-2019,4193.94
,12-16-2019,4139.54
,12-23-2019,4154.52
,12-30-2019,4173.67
,1-6-2020,4112.34
,1-13-2020,4035.78
,1-20-2020,3962.32
,1-27-2020,3838.74
,2-3-2020,4036.8
,2-10-2020,3928.65
,2-17-2020,3944.75
,2-24-2020,3633.18
,3-2-2020,3684.87
,3-9-2020,2985.4
,3-16-2020,2468.33
,3-23-2020,2781.15
,3-30-2020,2824.16
,4-6-2020,2838.4
,4-13-2020,2963.69
,4-20-2020,2715.46
,4-27-2020,2921.92
,5-4-2020,2934.97
,5-11-2020,2838.4
,5-18-2020,2815.65
,5-25-2020,2785.9
