,Dates,closing prices
,7-1-2019,1695.66
,7-8-2019,1693.65
,7-15-2019,1681.71
,7-22-2019,1651.9
,7-29-2019,1613.12
,8-5-2019,1591.59
,8-12-2019,1568.85
,8-19-2019,1589.89
,8-26-2019,1623.75
,9-2-2019,1594.99
,9-9-2019,1623.61
,9-16-2019,1588.84
,9-23-2019,1544.02
,9-30-2019,1510.64
,10-7-2019,1526.32
,10-14-2019,1530.25
,10-21-2019,1531.53
,10-28-2019,1513.05
,11-4-2019,1551.96
,11-11-2019,1547.47
,11-18-2019,1549.7
,11-25-2019,1546.48
,12-2-2019,1499.35
,12-9-2019,1525.19
,12-16-2019,1533.34
,12-23-2019,1531.1
,12-30-2019,1547.27
,1-6-2020,1555.66
,1-13-2020,1564.02
,1-20-2020,1544.66
,1-27-2020,1475.16
,2-3-2020,1502.87
,2-10-2020,1440.3
,2-17-2020,1444.81
,2-24-2020,1351.38
,3-2-2020,1330.54
,3-9-2020,1187.61
,3-16-2020,1037.71
,3-23-2020,1177.27
,3-30-2020,1188.9
,4-6-2020,1222.24
,4-13-2020,1294.84
,4-20-2020,1300.57
,4-27-2020,1373.82
,5-4-2020,1322.68
,5-11-2020,1314.04
,5-18-2020,1322.13
,5-25-2020,1362.44
